PassengerId,Survived
270,1
266,0
721,1
761,0
96,0
855,0
43,0
724,0
882,0
737,0
629,0
46,0
162,1
630,0
289,1
590,0
791,0
842,0
576,0
316,1
231,1
699,0
876,1
712,0
77,0
634,0
859,1
248,1
477,0
671,1
86,1
470,1
226,0
332,0
234,1
589,0
476,0
790,0
850,1
600,1
422,0
688,0
183,0
618,0
333,0
439,0
50,0
6,0
530,0
235,0
487,1
800,0
498,0
796,0
107,1
444,1
489,0
647,0
13,0
739,0
727,1
191,1
283,0
30,0
170,0
181,0
101,0
198,0
496,0
722,0
648,1
864,0
861,0
711,1
374,0
679,0
786,0
649,0
461,1
414,0
132,0
40,1
435,0
216,1
556,0
567,0
763,1
475,0
457,0
261,0
36,0
310,1
277,0
637,0
655,0
623,1
394,1
834,0
108,1
840,1
525,0
785,0
48,1
204,0
822,1
632,0
22,1
403,0
84,0
131,0
416,0
742,0
698,1
287,1
124,1
34,0
866,1
517,1
20,1
823,0
220,0
887,0
482,0
357,1
662,0
225,1
760,1
93,0
152,1
872,1
318,0
449,1
804,1
746,0
523,0
280,1
584,0
765,0
605,1
350,0
375,0
401,1
705,0
258,1
73,0
196,1
484,1
138,0
495,0
773,0
551,1
463,0
202,0
313,0
291,1
190,0
764,1
113,0
184,1
153,0
825,0
326,1
704,0
45,1
445,1
788,0
7,0
251,0
824,1
76,0
513,1
392,1
433,1
69,1
168,0
731,1
555,1
367,1
346,1
585,0
536,1
399,0
186,0
349,1
616,1
212,1
580,1
503,0
538,1
197,0
176,0
